,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.42,19.23,48.0,84,97,5.99,ZA,1597541995
1,Mataura,-46.19,168.86,51.01,70,12,5.01,NZ,1597541995
2,Saint-Philippe,-21.36,55.77,64.4,59,82,3.36,RE,1597541835
3,Santa Fe,-31.63,-60.7,55.0,34,0,4.0,AR,1597541996
4,Sakakah,29.97,40.21,80.6,32,0,5.82,SA,1597541996
5,Kapaa,22.08,-159.32,84.2,70,20,13.87,US,1597541996
6,Cape Town,-33.93,18.42,48.0,93,40,11.41,ZA,1597541770
7,Khartoum,15.55,32.53,86.0,58,66,12.75,SD,1597541836
8,Pevek,69.7,170.31,42.08,76,0,1.57,RU,1597541996
9,Carnarvon,-24.87,113.63,68.0,68,0,14.99,AU,1597541879
10,Saint George,37.1,-113.58,108.0,6,1,1.01,US,1597541964
11,Codrington,-38.27,141.97,57.18,75,0,11.3,AU,1597541997
12,Ushuaia,-54.8,-68.3,33.8,69,75,6.93,AR,1597541997
13,Chui,-33.7,-53.46,44.98,73,0,7.72,UY,1597541997
14,Chokurdakh,70.63,147.92,41.38,72,92,6.31,RU,1597541997
15,Tezu,27.92,96.17,76.15,87,100,2.98,IN,1597541997
16,Marzuq,14.4,46.47,78.8,62,61,5.14,YE,1597541997
17,La Ronge,55.1,-105.28,62.6,55,40,16.11,CA,1597541959
18,Severo-Kuril'sk,50.68,156.12,53.44,81,100,5.37,RU,1597541939
19,Port Alfred,-33.59,26.89,50.92,68,95,20.02,ZA,1597541998
20,Lebu,-37.62,-73.65,43.93,74,36,8.97,CL,1597541842
21,Pisco,-13.7,-76.22,62.6,82,100,2.24,PE,1597541998
22,Souillac,-20.52,57.52,69.8,77,40,9.17,MU,1597541998
23,Rikitea,-23.12,-134.97,71.26,75,0,13.53,PF,1597541846
24,Cayenne,4.93,-52.33,75.2,100,98,9.15,GF,1597541999
25,Katsuura,35.13,140.3,91.4,75,40,4.7,JP,1597541974
26,Khatanga,71.97,102.5,62.83,48,0,5.03,RU,1597542440
27,Saskylakh,71.92,114.08,58.98,46,1,10.29,RU,1597541999
28,Nanga Eboko,4.68,12.37,70.43,90,100,4.97,CM,1597541999
29,Grand Baie,-20.02,57.58,71.01,65,44,8.01,MU,1597541999
30,Narsaq,60.92,-46.05,46.4,70,89,13.87,GL,1597541939
31,Watertown,42.37,-71.18,68.0,77,90,5.82,US,1597542000
32,Bluff,-46.6,168.33,51.01,70,38,5.01,NZ,1597541920
33,Albany,42.6,-73.97,72.0,89,61,5.35,US,1597542000
34,Kavieng,-2.57,150.8,83.77,70,9,3.85,PG,1597541885
35,Qaqortoq,60.72,-46.03,46.4,70,75,13.87,GL,1597541945
36,Fort Nelson,58.81,-122.7,66.2,55,75,6.93,CA,1597541859
37,Khanpur,28.65,70.66,93.9,54,0,11.36,PK,1597542001
38,Kaitangata,-46.28,169.85,46.99,83,73,5.01,NZ,1597542001
39,Castro,-24.79,-50.01,58.23,95,100,8.81,BR,1597541923
40,El Dorado,33.21,-92.67,84.2,83,1,4.7,US,1597542001
41,Saldanha,-33.01,17.94,42.8,93,3,3.36,ZA,1597541839
42,Sawtell,-30.38,153.1,71.01,42,0,6.93,AU,1597542002
43,Sitka,57.05,-135.33,57.2,87,90,3.76,US,1597542002
44,Zhezkazgan,47.8,67.71,70.5,33,93,11.05,KZ,1597541913
45,Bull Savanna,17.89,-77.59,78.33,83,69,2.28,JM,1597542002
46,Hobart,-42.88,147.33,53.6,87,75,11.41,AU,1597542443
47,Kaduqli,11.02,29.72,72.95,88,65,1.79,SD,1597542003
48,Lompoc,34.64,-120.46,80.01,53,1,12.75,US,1597541850
49,Carballo,43.21,-8.69,64.99,82,72,4.7,ES,1597542003
50,Nikolskoye,59.7,30.79,57.99,87,7,2.24,RU,1597542003
51,Lavrentiya,65.58,-171.0,59.59,50,0,6.71,RU,1597542003
52,Salalah,17.02,54.09,75.2,100,90,6.93,OM,1597542004
53,High Level,58.52,-117.14,64.4,63,75,3.36,CA,1597542004
54,Ribeira Grande,38.52,-28.7,73.44,86,16,17.36,PT,1597542004
55,Dikson,73.51,80.55,43.34,89,0,3.33,RU,1597542004
56,Ambilobe,-13.2,49.05,65.28,75,15,5.66,MG,1597542004
57,Qaanaaq,77.48,-69.36,34.75,86,2,1.25,GL,1597541922
58,Faanui,-16.48,-151.75,78.15,80,100,14.7,PF,1597542005
59,Atuona,-9.8,-139.03,78.33,73,10,13.87,PF,1597541914
60,Vardø,70.37,31.11,47.97,76,100,18.68,NO,1597542005
61,San Cristobal,7.77,-72.22,67.14,92,100,2.06,VE,1597541979
62,Zhigansk,66.77,123.37,49.95,56,0,21.94,RU,1597542005
63,Talnakh,69.49,88.4,62.6,59,40,11.18,RU,1597542005
64,Hay River,60.82,-115.8,59.0,62,40,9.17,CA,1597542006
65,Puro,12.48,123.38,85.01,68,99,3.67,PH,1597542006
66,Denpasar,-8.65,115.22,80.6,100,40,14.99,ID,1597541795
67,Geraldton,-28.77,114.6,59.0,67,75,21.92,AU,1597542006
68,Berlevåg,70.86,29.09,48.09,73,73,23.09,NO,1597541974
69,Seoul,37.57,126.98,82.4,78,90,3.36,KR,1597541763
70,Chul'man,56.85,124.91,57.27,60,92,6.26,RU,1597542006
71,Juruti,-2.15,-56.09,81.73,60,40,2.93,BR,1597542007
72,Ponta do Sol,32.67,-17.1,71.6,64,20,12.75,PT,1597542007
73,Punta Arenas,-53.15,-70.92,32.0,80,90,26.4,CL,1597542007
74,Ostrovnoy,68.05,39.51,56.32,87,100,16.98,RU,1597542007
75,New Norfolk,-42.78,147.06,53.01,91,100,1.01,AU,1597541836
76,Busselton,-33.65,115.33,55.0,64,13,18.99,AU,1597542008
77,Hilo,19.73,-155.09,84.2,66,75,10.29,US,1597542008
78,Flinders,-34.58,150.86,63.0,60,99,15.99,AU,1597542008
79,Menongue,-14.66,17.69,52.38,41,0,3.8,AO,1597542008
80,Hasaki,35.73,140.83,86.0,89,75,10.29,JP,1597542008
81,Port Elizabeth,-33.92,25.57,48.2,76,40,25.28,ZA,1597542008
82,Yazykovo,55.22,56.14,53.19,97,100,6.04,RU,1597542009
83,Kendari,-3.94,122.5,84.54,64,19,2.64,ID,1597542009
84,Esperance,-33.87,121.9,57.2,87,90,20.8,AU,1597542009
85,Adrar,20.5,-10.07,99.91,17,66,8.19,MR,1597541910
86,Chermoz,58.79,56.15,51.35,86,100,13.06,RU,1597542009
87,San Patricio,19.22,-104.7,87.8,74,40,2.77,MX,1597541908
88,Albacete,38.83,-2.0,61.0,41,0,7.61,ES,1597542010
89,Vila Velha,-20.33,-40.29,73.4,88,20,11.41,BR,1597541918
90,Mahébourg,-20.41,57.7,69.8,77,40,9.17,MU,1597541845
91,Hanmer Springs,-42.52,172.82,51.46,46,11,3.49,NZ,1597542010
92,Bredasdorp,-34.53,20.04,44.6,87,43,10.29,ZA,1597542010
93,Kawambwa,-9.79,29.08,55.53,46,76,5.03,ZM,1597542010
94,Bambous Virieux,-20.34,57.76,71.01,77,40,9.17,MU,1597541913
95,Henties Bay,-22.12,14.28,50.0,87,0,1.01,NA,1597542011
96,São Filipe,14.9,-24.5,78.21,85,15,5.97,CV,1597542011
97,Barrow,71.29,-156.79,44.6,93,90,9.17,US,1597541875
98,Pervomayskiy,53.25,40.29,53.15,83,100,6.6,RU,1597542011
99,Khovd,48.01,91.64,53.2,73,100,7.67,MN,1597542011
100,São João da Barra,-21.64,-41.05,73.33,87,25,8.88,BR,1597542011
101,Kenora,49.82,-94.43,64.4,72,40,9.17,CA,1597541943
102,Cape Canaveral,28.41,-80.6,80.01,88,1,9.17,US,1597542012
103,Asău,46.43,26.4,60.01,98,100,2.13,RO,1597542012
104,Mayya,61.73,130.28,53.6,54,20,6.71,RU,1597542012
105,Tura,25.52,90.22,78.67,86,76,6.78,IN,1597542012
106,Burnie,-41.07,145.92,61.0,60,100,5.99,AU,1597542012
107,Cazones de Herrera,20.72,-97.32,79.72,81,94,5.03,MX,1597542012
108,Bonavista,48.65,-53.11,48.99,86,0,8.32,CA,1597541957
109,Madera,37.17,-119.83,102.99,18,100,1.79,US,1597542013
110,Huambo,-12.78,15.74,51.21,43,0,2.06,AO,1597542013
111,Manzhouli,49.6,117.43,71.62,62,6,2.71,CN,1597542013
112,Ullapool,57.9,-5.16,53.01,93,13,1.99,GB,1597542013
113,Senador Pompeu,-5.59,-39.37,72.45,81,48,5.73,BR,1597542013
114,Tuktoyaktuk,69.45,-133.04,51.8,62,90,5.82,CA,1597541906
115,Cardston,49.2,-113.3,82.0,32,40,12.75,CA,1597542013
116,Westport,41.14,-73.36,73.4,64,90,14.99,US,1597541930
117,Lüderitz,-26.65,15.16,55.58,69,0,20.6,NA,1597542014
118,Katangli,51.71,143.23,57.15,79,95,19.24,RU,1597542014
119,Shīeli,44.17,66.75,81.21,19,72,7.56,KZ,1597542014
120,Voskresenskoye,56.84,45.43,49.46,89,95,6.29,RU,1597542014
121,Jamestown,42.1,-79.24,73.0,73,1,5.1,US,1597541832
122,Andrews,32.32,-102.55,87.8,33,1,14.99,US,1597542015
123,Goundi,9.36,17.37,73.18,95,100,5.46,TD,1597542015
124,Aklavik,68.22,-135.01,50.0,76,75,9.17,CA,1597541959
125,Christchurch,-43.53,172.63,51.8,53,0,3.36,NZ,1597542015
126,Perivoli,39.42,20.01,75.2,88,20,8.14,GR,1597542015
127,Raxaul,26.98,84.85,83.77,77,7,13.29,IN,1597542015
128,Vao,-22.67,167.48,69.96,77,11,18.19,NC,1597542015
129,Port Hardy,50.7,-127.42,71.6,68,40,9.17,CA,1597542016
130,Yellowknife,62.46,-114.35,59.0,51,75,9.17,CA,1597541866
131,Petatlán,17.52,-101.27,79.56,86,92,1.5,MX,1597542016
132,Faya,18.39,42.45,69.8,64,97,3.65,SA,1597542016
133,Porto Santo,33.07,-16.34,71.6,73,40,9.17,PT,1597542016
134,Darłowo,54.42,16.41,66.0,56,7,7.47,PL,1597542016
135,Mount Isa,-20.73,139.5,73.4,20,0,8.05,AU,1597542017
136,Rome,43.21,-75.46,75.2,53,20,10.29,US,1597542017
137,Avarua,-21.21,-159.78,77.0,94,0,8.05,CK,1597542017
138,Cherskiy,68.75,161.3,55.89,44,100,3.02,RU,1597541897
139,Grants Pass,42.44,-123.33,104.0,14,1,6.02,US,1597541927
140,Port Blair,11.67,92.75,80.6,88,75,5.82,IN,1597542017
141,Aswān,24.09,32.91,85.05,21,0,10.29,EG,1597542018
142,Bulgan,48.81,103.53,56.57,85,99,6.87,MN,1597542018
143,Thompson,55.74,-97.86,59.0,77,75,11.41,CA,1597542018
144,Santa Isabel Rio Negro,-0.41,-65.02,77.5,72,10,3.22,BR,1597542018
145,Alofi,-19.06,-169.92,77.0,57,0,13.87,NU,1597542019
146,Puerto Ayora,-0.74,-90.35,66.0,91,29,3.0,EC,1597541886
147,Kungurtug,50.6,97.52,60.53,71,100,2.26,RU,1597542019
148,Karratha,-20.74,116.85,75.02,58,12,6.98,AU,1597541769
149,Cabo San Lucas,22.89,-109.91,91.4,52,5,19.46,MX,1597541935
150,Caraballeda,10.61,-66.85,80.44,78,71,8.39,VE,1597542019
151,Kiryat Gat,31.61,34.76,75.99,57,0,5.01,IL,1597541970
152,Ndélé,8.41,20.65,70.12,98,100,4.79,CF,1597542019
153,Tasiilaq,65.61,-37.64,42.8,81,100,23.04,GL,1597542020
154,Camacha,33.08,-16.33,71.6,73,40,9.17,PT,1597542006
155,Lappeenranta,61.06,28.19,60.8,87,95,8.05,FI,1597541963
156,Valparaíso,-33.04,-71.63,53.6,62,0,4.7,CL,1597541992
157,Bang Rakam,16.76,100.12,80.6,94,40,6.69,TH,1597542020
158,Plácido de Castro,-10.34,-67.19,80.65,61,9,1.72,BR,1597542020
159,Monticello,45.31,-93.79,70.0,64,1,8.37,US,1597542020
160,Merke,42.87,73.18,79.12,27,18,4.79,KZ,1597542021
161,Mrakovo,52.72,56.62,50.54,92,38,3.31,RU,1597542021
162,Champasak,14.75,106.0,78.8,88,75,2.24,LA,1597541940
163,George Town,5.41,100.34,82.4,88,20,2.24,MY,1597541787
164,Toora-Khem,52.47,96.11,64.94,61,99,3.83,RU,1597542021
165,Torbay,47.67,-52.73,50.0,87,5,8.05,CA,1597542021
166,Baykit,61.67,96.37,58.05,49,0,7.87,RU,1597542021
167,Saint-Pierre,-21.34,55.48,64.4,59,92,3.36,RE,1597541997
168,Antalaha,-14.9,50.28,66.07,84,69,8.59,MG,1597542022
169,Nicoya,10.15,-85.45,74.03,91,99,1.68,CR,1597542022
170,Nova Olímpia,-14.8,-57.29,81.23,29,20,5.12,BR,1597542022
171,Laas,46.62,10.7,61.0,100,75,1.12,IT,1597542022
172,Bilma,18.69,12.92,88.95,16,65,7.87,NE,1597542022
173,Airai,-8.93,125.41,77.29,33,17,4.88,TL,1597542023
174,Bria,6.54,21.99,70.34,93,100,2.15,CF,1597542023
175,Isangel,-19.55,169.27,73.4,64,100,11.41,VU,1597541949
176,Kaeo,-35.1,173.78,57.99,3,100,7.0,NZ,1597542023
177,Amlapura,-8.45,115.62,80.6,100,40,14.99,ID,1597542023
178,Casablanca,33.59,-7.62,71.01,77,75,10.29,MA,1597542023
179,Vaini,-21.2,-175.2,73.4,60,20,11.41,TO,1597542024
180,Te Anau,-45.42,167.72,46.2,67,87,0.6,NZ,1597542024
